City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,coahuayana de hidalgo,18.7,-103.6583,31.18,63,3,2.71,MX,1730235733
210,karasburg,-28.0167,18.75,18.7,40,2,1.66,NA,1730235734
211,lompoc,34.6391,-120.4579,21.12,59,0,7.2,US,1730235597
212,talnakh,69.4865,88.3972,-15.89,95,36,3.19,RU,1730235737
213,torbat-e jam,35.244,60.6225,8.56,56,0,0.87,IR,1730235738
214,motygino,58.1831,94.7592,1.27,98,100,3.19,RU,1730235739
215,mount pearl,47.5166,-52.7813,3.41,92,100,5.14,CA,1730235740
216,kurumkan,54.3,110.3,-0.88,93,100,1.2,RU,1730235741
217,minggang,32.4586,114.0486,14.02,69,9,2.86,CN,1730235744
218,lozova,48.8894,36.3176,6.46,63,15,2.96,UA,1730235745
219,yaritagua,10.08,-69.1261,32.59,72,99,2.97,VE,1730235746
220,saguenay,48.4168,-71.0657,6.46,48,75,6.17,CA,1730235748
221,ust'-kulom,61.6864,53.6902,1.52,97,100,2.77,RU,1730235752
222,punta arenas,-53.15,-70.9167,10.06,62,40,12.86,CL,1730235753
223,baruun-urt,46.6806,113.2792,1.73,76,100,3.49,MN,1730235754
224,ust'-kut,56.7938,105.7672,0.91,99,100,1.16,RU,1730235755
225,yashkul',46.1711,45.3435,10.2,93,100,2.13,RU,1730235759
226,island harbour,50.724,-1.2758,13.88,71,99,1.66,GB,1730235760
227,lerwick,60.1545,-1.1494,9.35,73,77,8.5,GB,1730235761
228,egilsstadir,65.2653,-14.3948,5.95,56,75,8.75,IS,1730235763
229,happy valley-goose bay,53.3168,-60.3315,0.17,69,40,2.57,CA,1730235764
230,itamaraca,-7.7478,-34.8256,25.05,73,93,4.56,BR,1730235765
231,afaahiti,-17.75,-149.2833,23.09,66,32,6.32,PF,1730235766
232,suhut,38.5311,30.5458,8.5,63,0,2.17,TR,1730235767
233,razole,16.4833,81.8333,25.32,84,5,0.48,IN,1730235768
234,newman,37.3138,-121.0208,19.47,38,0,4.02,US,1730235769
235,usinsk,65.9939,57.5281,-0.48,98,100,6.63,RU,1730235770
236,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,41,40,13.0,RU,1730235772
237,zhezqazghan,47.7833,67.7667,1.8,83,43,3.0,KZ,1730235773
238,new plymouth,-39.0667,174.0833,11.84,100,23,2.85,NZ,1730235774
239,lerma,42.0261,-3.7598,12.33,85,94,2.75,ES,1730235775
240,tobelo,1.7284,128.0095,27.49,79,100,1.84,ID,1730235776
